,scopus_id,author
596,6505977240,"Feffer, Melvin"
597,6507350163,"Suchotliff, Leonard"
598,6701599687,"McKeachie, W. J."
599,7406586477,"Lin, Yi Guang"
600,6506776789,"Milholland, John"
601,57197553804,"Isaacson, Robert"
602,24554843200,"Burnstein, Eugene"
603,6507115549,"Liberty, Paul G."
604,6505471447,"Altucher, Nathan"
605,24599896700,"Himmelfarb, Samuel"
606,7404306686,"Anderson, C. C."
607,7004512246,"Côté, A. D."
608,7202613469,"Snyder, C. R."
609,24489154400,"Ross, Dorothea"
610,7007180192,"Mendelsohn, Gerald A."
611,6602241396,"GRISWOLD, BARBARA B."
612,7005900698,"Darlington, Richard B."
613,6504206656,"Macker, Clifford E."
614,6602297728,"Valins, Stuart"
615,6701507882,"Parton, David A."
616,57209743931,"Dabbs, James M."
617,7101874484,"Chu, Godwin C."
618,6603436326,"Sappenfield, Bert R."
619,25954105500,"Kaplan, Berton B."
620,36883110500,"Balogh, Bela"
621,36877287400,"BOSSART, PHILIP"
622,6603383342,"di Vesta, Francis J."
623,6603078745,"Aronson, Vera"
624,24608950900,"ABRAHAMS, DARCY"
625,6504301118,"Rottman, Leon"
626,24546005600,"Griffitt, William"
627,6602329374,"CRANDALL, VIRGINIA C."
628,6602870277,"MCGRADE, BETTY J."
629,14021168400,"Deutsch, Morton"
630,7102494309,"ATKINS, ALVIN L."
631,24568138300,"FILLENBAUM, SAMUEL"
632,7005876653,"Sieber, Joan E."
633,7101840914,"MEADE, ROBERT D."
634,57210508660,"Morris, Charles"
635,7101612541,"OAKES, WILLIAM F."
636,6701723483,"Bochner, Stephen"
637,7102571892,"Lazarus, Richard S."
638,55942360200,"Opton, Edward M."
639,36885752500,"TOMITA, MASATOSHI"
640,6701729124,"Berscheid, Ellen"
641,25954135500,"FITZGERALD, E. T."
642,7801603291,"Buckhout, Robert"
643,57198135766,"CONNOR, WILLIAM H."
644,24612589100,"Sensenig, John"
645,25954552900,"MALLICK, SHAHBAZ K."
646,7006336106,"MCCANDLESS, BOYD R."
647,6603042138,"McNeel, Steven P."
648,6603669928,"CROMBAG, HANS F."
649,7005051894,"Buss, Edith"
650,25955004000,"WARE, ROBERT"
651,24599559200,"FLANDERS, JAMES P."
652,23087401600,"Thistlethwaite, Donald L."
653,6505935705,"Bixenstine, V. Edwin"
654,57198819110,"Douglas, Joan"
655,55489783300,"Smith, Kay H."
656,7202100515,"RICHARDS, BARRIE"
657,7403154974,"Hoffman, Martin L."
658,7003433771,"WEINSTOCK, ALLAN R."
659,6603814755,"Crano, William D."
660,7401841847,"Schroder, H. M."
661,7004482471,"Laughlin, Patrick R."
662,6507167520,"Stefaniak, Daniel"
663,7202532747,"Stone, William F."
664,25949852000,"Holmes, David S."
665,7402063028,"SHAPIRO, DAVID"
666,6701655432,"Leiderman, P. Herbert"
667,6507080155,"MENLOVE, FRANCES L."
668,6602581899,"HARNETT, DONALD L."
669,57200774589,"MARSHALL, HELEN R."
670,7401986409,"HAHN, SHWU C."
671,6602292807,"STAGER, PAUL"
672,57197979107,"HOY, ELIZABETH"
673,37034929600,"Smith, Carole R."
674,56317892700,"Williams, Lev"
675,25955056600,"Willis, Richard H."
676,56634470300,"CONSTANTINOPLE, ANNE"
677,7201361532,"FRIEDMAN, PHILIP"
678,25954907100,"SAVILLE, MARGARET R."
679,25954791100,"Rubin, Irwin M."
680,16468400900,"Katz, Phyllis A."
681,56391099800,"Klein, Marjorie H."
682,6603909366,"Kleck, Robert E."
683,35868767100,"WHEATON, JERRY"
684,7006766814,"BLUM, GERALD S."
685,57207095410,"STEWART, CHARLES G."
686,7006535274,"Vernon, David T."
687,7402873000,"Foley, Jeanne M."
688,7202714415,"SCHULMAN, JEROME L."
689,56947202300,"Gall, Meredith D."
690,25954636500,"SGAN, MABEL L."
